index,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
2703,Marie Louise Tissot,France,1,1,74.00,F
2705,Mark Twain,United States,1,1,70.67,F
2706,Märkische Spezialitätenbrennerei,Germany,11,5,76.00,E
2708,Mars,Japan,19,11,84.15,D
2710,Marshall's,United States,1,1,73.67,F
2713,Martin Mills,United States,2,1,91.67,B
2714,Martin's,Scotland,3,1,85.67,C
2715,Mary Read,Germany,1,1,84.00,D
2716,Mary Stuart,Scotland,1,1,84.00,D
2717,Marypark-Speyside,Scotland,2,2,87.50,C
2718,Mason's,United States,1,1,55.00,G
2720,Master John,Scotland,1,1,75.00,E
2722,Masterson's,Canada,13,10,84.79,D
2724,Match Whisky,Scotland,6,3,83.38,D
2725,Matisse,Scotland,12,7,81.07,D
2726,Mattingly & Moore,United States,2,1,82.00,D
2728,Maverick Drinks,United Kingdom,12,3,83.08,D
2730,Maximum Peat,Scotland,19,16,84.15,D
2731,Maximum Sherry,Scotland,2,2,84.34,D
2732,Maxwell,Scotland,2,2,88.50,C
2734,Mayor Pingree,United States,4,1,84.00,D
2736,Mc Daniel,Scotland,1,1,82.00,D
2737,Mc Illroy,Scotland,5,1,44.20,G
2738,Mc Intyre,Scotland,1,1,51.00,G
2739,McAfee's Benchmark,United States,4,3,75.51,E
2742,McCallum's,Scotland,9,4,72.75,F
2743,McCarthy's Oregon,United States,16,12,81.10,D
2744,McClelland's,Scotland,34,20,76.42,E
2745,McCormack's,Ireland,1,1,73.00,F
2746,McCormick,United States,2,1,81.00,D
2747,McCrae's,Scotland,2,1,74.00,F
2749,McDowell's,India,5,3,49.25,G
2750,McGee,Scotland,1,1,58.00,G
2751,McGibbon's,Scotland,9,4,74.45,F
2754,McHenry,Australia,2,1,84.00,D
2758,McKenzie,United States,8,5,78.62,E
2760,McLintock,Scotland,2,2,63.60,G
2762,McNeill's Prototype,Scotland,12,10,86.33,C
2764,McTryn,Scotland,4,1,86.00,C
2767,Mealach,Scotland,1,1,81.00,D
2768,Medley Bros.,United States,2,1,86.00,C
2770,Medley's,United States,10,3,71.28,F
2772,Meissener Whisky,Germany,2,2,80.17,D
2773,Mekong,Cambodia,2,1,19.50,G
2774,Meldrum House,Scotland,3,3,82.26,D
2775,Mellow Corn,United States,3,2,73.59,F
2780,Merrys,Ireland,5,2,74.88,F
2781,Method & Madness,Ireland,8,7,86.18,C
2784,Meyer,France,3,3,75.34,E
2786,Mic Mac,Scotland,1,1,50.00,G
2787,Mic.Drop.,United States,1,1,89.00,C
2788,Michael Collins,Ireland,6,3,78.11,E
2789,Michael Jackson,Scotland,1,1,83.21,D
2790,Michel Couvreur,France,17,11,86.86,C
2792,Michter's,United States,121,80,84.51,D
2795,Midleton,Ireland,101,64,87.88,C
2796,Midnight Moon,United States,5,4,78.25,E
2799,Milford,New Zealand,37,28,81.97,D
2802,Millars,Ireland,4,3,78.25,E
2804,Millburn,Scotland,96,78,88.02,C
2806,Millstone,Netherlands,142,126,81.39,D
2807,Milroy's Finest,Scotland,1,1,66.00,G
2808,Miltonduff,Scotland,528,383,85.44,C
2809,Miltonhaugh,Scotland,3,3,92.50,B
2810,Minhas Distillery,United States,3,3,67.67,G
2811,Minor Case,United States,1,1,80.00,D
2814,Mitchell's,Scotland,4,4,81.99,D
2816,Miyagikyo,Japan,97,73,87.41,C
2817,Moenks,Germany,1,1,81.00,D
2818,Moidart,Scotland,8,5,86.36,C
2820,Moncreiffe,Scotland,2,1,82.25,D
2821,Monde Shuzou,Japan,3,2,67.50,G
2822,Monkey Shoulder,Scotland,11,10,78.58,E
2825,Monster's Choice,Scotland,5,1,77.20,E
2826,Monumental,Scotland,2,1,88.00,C
2828,Moon Harbour,France,3,3,79.35,E
2829,Moonshine,United States,6,1,81.00,D
2830,Moor Whisky,Germany,1,1,86.00,C
2831,Moorland,Scotland,7,1,86.00,C
2832,Morpheus,Scotland,1,1,86.75,C
2834,Morrison,Scotland,2,1,82.00,D
2836,Morriston Gold,Scotland,1,1,76.00,E
2837,Mortimers,Scotland,2,1,88.00,C
2838,Mortlach,Scotland,1481,1104,86.15,C
2840,Mortons,Scotland,2,1,85.00,C
2841,MOS,Scotland,3,2,82.84,D
2842,Mosstowie,Scotland,78,62,86.69,C
2844,Most Wanted,United States,1,1,73.00,F
2845,Mount Everest,Nepal,1,1,26.00,G
2846,Mount Keen,Scotland,4,2,60.50,G
2849,Moutard,France,1,1,73.00,F
2852,Mrs. Couvreur' Choice,Scotland,1,1,90.67,B
2854,Muckle Flugga,Scotland,2,2,82.93,D
2856,Mühli Whiskey,Switzerland,1,1,77.50,E
2857,Muirhead's,Scotland,9,3,65.67,G
2859,Mull of Kintyre Music Festival,Scotland,4,2,85.00,C
2860,Mull-A-Mhoine,Scotland,4,3,79.72,E
2861,Munray,Scotland,1,1,88.00,C
2862,Murdoch's Perfection,Scotland,10,3,82.00,D
2863,Murmeli,Austria,1,1,79.00,E
2864,Murphys,Ireland,1,1,76.00,E
2866,Murree Brewery,Pakistan,7,1,4.00,G
2868,Mykulynetsky Brovar,Ukraine,5,1,16.80,G
2869,Myrmhor,Scotland,1,1,82.00,D
2870,Mysterious Morticia,Scotland,1,1,88.00,C
2871,Mystery Dram,Scotland,1,1,85.00,C
2872,Mystery Islay,Scotland,5,5,82.03,D
2873,Mystery Little Piggy,Scotland,3,3,83.38,D
2875,Mystery Speyside,Scotland,5,4,88.09,C
2876,Nagahama,Japan,3,2,79.00,E
2877,Naguelann,France,6,4,80.63,D
2878,Naked,Canada,1,1,70.00,F
2879,Nant,Australia,16,10,83.00,D
2880,Nantou,Taiwan,91,22,84.18,D
2883,Nation of Scots,Scotland,1,1,81.50,D
2885,Natu Nobilis,Brazil,2,1,80.00,D
2886,Nectar d'Islay,Scotland,1,1,82.75,D
2887,Nectar d'Speyside,Scotland,1,1,89.00,C
2888,Nectar Grove,Scotland,1,1,84.05,D
2890,Nelson's First 108,United States,1,1,84.00,D
2892,Nestville,Slovakia,12,10,74.09,F
2893,Nethermill,Scotland,2,1,80.00,D
2895,Nevis Dew,Scotland,11,6,72.96,F
2901,New Holland Brewing,United States,6,2,80.63,D
2904,New Town Blends,Scotland,2,2,83.00,D
2905,New Waterway Malt,Scotland,1,1,81.67,D
2906,New World Projects,Australia,20,12,87.21,C
2908,New York Distilling Company,United States,1,1,83.50,D
2911,News,Japan,1,1,79.00,E
2913,NEWT,Scotland,1,1,87.67,C
2915,Nice 'n Peaty,Scotland,6,4,84.50,D
2917,Nikka,Japan,468,294,84.08,D
2918,Ninety,Canada,2,2,82.93,D
2922,No Age,Scotland,9,8,87.78,C
2923,No Name,Scotland,2,2,89.17,C
