Brand_ID,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
2398,King's Pawn,Scotland,1,NA,NA,G
2399,King's Pride,Scotland,2,1,90,B
2400,King's Ransom,Scotland,9,2,80.5,D
2401,King's Reserve,Scotland,1,NA,NA,G
2402,King's Rider,Scotland,1,NA,NA,G
2403,King's Royal,Scotland,2,1,81,D
2404,Kingdom,Scotland,5,1,82,D
2405,Kings Castle,United Kingdom,1,NA,NA,G
2406,Kings County Distillery,United States,13,9,75.15,E
2407,Kings Point,United States,1,NA,NA,G
2408,Kings Privilege,Scotland,1,NA,NA,G
2409,Kings Tower,Scotland,1,NA,NA,G
2410,Kingsbarns,Scotland,2,2,79.13,E
2411,Kingsburry,Scotland,1,NA,NA,G
2412,Kingston,Scotland,1,NA,NA,G
2413,Kininvie,Scotland,11,8,85.01,C
